isotope pass1 pass2 pass3 pass4 pass5 pass6
Y-89 0.000204937762148 0.000508148715015 0.000810127260553 0.001099251791945 0.001380660255292 0.001652705578723
Y-90 9.82E-08 1.93E-07 2.85E-07 3.72E-07 4.56E-07 5.38E-07
Y-91 0.000166022099181 0.000178400575718 0.000174149252629 0.000168715579031 0.000163123712213 0.00015740828426
Zr-90 2.30E-06 9.16E-06 2.05E-05 3.58E-05 5.52E-05 7.86E-05
Zr-91 0.000241063993454 0.000619766940754 0.001004036047352 0.001373819192589 0.001734683867563 0.002084421167285
Zr-92 0.000427512224223 0.000840632889319 0.00124443507415 0.001633717413104 0.002015401627171 0.00238722421083
Zr-93 0.000462258286929 0.00091179344088 0.001352585536615 0.001778526684757 0.002196929110211 0.002605128524734
Zr-94 0.000468182647003 0.000925332676923 0.001376392642537 0.001814758559294 0.002247888501336 0.002673163932674
Zr-95 2.09E-04 0.000233930538456 0.000233326915921 2.30E-04 0.000225209949511 0.000220506577302
Zr-96 4.72E-04 0.000935689419605 0.001394889072424 1.84E-03 0.002287124413047 0.002724854470551
Nb-93 1.36E-11 5.50E-11 1.25E-10 2.23E-10 3.52E-10 5.11E-10
Nb-94 1.10E-11 3.56E-11 6.63E-11 9.80E-11 1.34E-10 1.73E-10
Nb-95 9.70E-05 0.00012646228406 0.000129045790191 0.000127576395382 0.000125529451421 0.000123324182098
Mo-94 4.70E-12 3.83E-11 1.20E-10 2.44E-10 4.39E-10 6.98E-10
Mo-95 0.000173836690163 0.000587197303693 0.001043220470354 0.001489672066518 0.001927325463748 0.002351441952162
Mo-96 6.90E-07 4.17E-06 1.17E-05 2.38E-05 4.12E-05 6.52E-05
Mo-97 4.53E-04 0.000902243232944 0.001349484611054 1.79E-03 0.0022226134437 0.002652671449507
Mo-98 0.000442555880114 0.000881718878615 0.001320876072004 0.001753089798943 0.002185578526573 0.002615797713707
Mo-99 1.03E-05 1.01E-05 9.93E-06 9.80E-06 9.65E-06 9.48E-06
Mo-100 4.93E-04 0.000984490682093 0.001478259411269 1.97E-03 0.002456400905574 0.002945705772714
Tc-99 4.63E-04 0.000927033037662 0.001382221655102 1.82E-03 0.002247488320503 0.00265878372145
Ru-98 1.40E-18 6.83E-16 7.10E-16 4.70E-15 4.99E-15 3.33E-14
Ru-99 1.55E-08 3.21E-08 4.95E-08 6.74E-08 8.59E-08 1.05E-07
Ru-100 3.81E-06 1.62E-05 3.79E-05 6.98E-05 0.000113322116999 0.000170415053424
Ru-101 4.14E-04 0.000829561449557 0.001246944914194 1.66E-03 0.002070299161498 0.002479199350547
Ru-102 0.000353507729404 0.000719350795167 0.001096972877957 0.001479077153406 0.001871445667376 0.002272018799471
Ru-103 8.04E-05 8.79E-05 9.15E-05 9.45E-05 9.70E-05 9.94E-05
Ru-104 1.70E-04 0.000364400945584 0.000576955845591 0.000801901235656 0.001041688899367 0.001294637409691
Ru-105 1.56E-07 1.81E-07 2.02E-07 2.20E-07 2.37E-07 2.52E-07
Ru-106 4.11E-05 8.76E-05 0.000134643824723 1.80E-04 0.000224439601406 0.000267673852028
Rh-103 1.77E-04 0.000422165927944 0.000657377122384 8.71E-04 0.001062225452136 0.001223700491707
Rh-105 1.19E-06 1.38E-06 1.54E-06 1.67E-06 1.78E-06 1.88E-06
Pd-104 6.77E-06 3.70E-05 9.55E-05 1.84E-04 0.000307653567703 0.000471182492117
Pd-105 8.90E-05 0.000200539818108 0.000327831487191 0.000465662346357 0.000614349429912 0.000771667056319
Pd-106 1.07E-05 3.87E-05 8.53E-05 1.50E-04 0.000233658312605 0.000337175477583
Pd-107 2.17E-05 5.86E-05 0.000108153190551 1.68E-04 0.000239956613221 0.000322216783479
Pd-108 1.15E-05 3.35E-05 6.46E-05 1.04E-04 0.00015206871669 0.000208484866249
Pd-110 4.28E-06 1.21E-05 2.31E-05 3.73E-05 5.49E-05 7.58E-05
Ag-107 4.92E-13 2.56E-12 6.93E-12 1.41E-11 2.49E-11 3.97E-11
Ag-109 6.11E-06 1.80E-05 3.46E-05 5.54E-05 8.02E-05 0.000108306366316
Ag-111 2.00E-07 2.79E-07 3.55E-07 4.31E-07 5.05E-07 5.79E-07
Cd-108 2.79E-13 1.66E-12 5.03E-12 1.07E-11 2.09E-11 3.63E-11
Cd-110 1.82E-07 1.10E-06 3.29E-06 7.27E-06 1.38E-05 2.37E-05
Cd-111 2.49E-06 6.62E-06 1.21E-05 1.89E-05 2.70E-05 3.65E-05
Cd-112 1.47E-06 3.61E-06 6.31E-06 9.51E-06 1.33E-05 1.76E-05
Cd-113 1.58E-07 1.76E-07 1.85E-07 1.87E-07 1.83E-07 1.70E-07
Cd-114 2.85E-06 6.55E-06 1.10E-05 1.63E-05 2.25E-05 2.96E-05
Cd-116 1.60E-06 3.38E-06 5.34E-06 7.47E-06 9.79E-06 1.23E-05
In-113 2.21E-10 9.50E-10 2.28E-09 4.28E-09 7.05E-09 1.07E-08
In-115 9.57E-07 1.91E-06 2.84E-06 3.75E-06 4.64E-06 5.47E-06
Sn-112 1.45E-18 1.29E-17 4.84E-17 1.23E-16 2.76E-16 5.45E-16
Sn-114 8.50E-13 8.49E-12 3.37E-11 9.01E-11 1.98E-10 3.82E-10
Sn-115 5.36E-08 1.17E-07 1.91E-07 2.77E-07 3.77E-07 4.91E-07
Sn-116 1.00E-07 4.27E-07 1.01E-06 1.85E-06 3.03E-06 4.57E-06
Sn-117 1.33E-06 2.86E-06 4.57E-06 6.41E-06 8.42E-06 1.06E-05
Sn-118 1.54E-06 3.26E-06 5.14E-06 7.13E-06 9.26E-06 1.15E-05
Sn-119 1.18E-06 2.64E-06 4.35E-06 6.25E-06 8.36E-06 1.07E-05
Sn-120 1.59E-06 3.32E-06 5.18E-06 7.11E-06 9.14E-06 1.13E-05
Sn-122 2.00E-06 4.31E-06 6.87E-06 9.62E-06 1.26E-05 1.58E-05
Sn-123 5.80E-08 9.17E-08 1.18E-07 1.43E-07 1.69E-07 1.95E-07
Sn-124 2.88E-06 6.36E-06 1.03E-05 1.47E-05 1.94E-05 2.46E-05
Sn-125 6.83E-08 7.81E-08 8.72E-08 9.62E-08 1.05E-07 1.13E-07
Sn-126 6.72E-06 1.48E-05 2.41E-05 3.40E-05 4.49E-05 5.66E-05
Sb-121 1.24E-06 2.66E-06 4.23E-06 5.92E-06 7.75E-06 9.71E-06
Sb-123 1.43E-06 3.08E-06 4.94E-06 6.99E-06 9.27E-06 1.18E-05
Sb-124 3.66E-09 9.97E-09 1.76E-08 2.66E-08 3.75E-08 5.06E-08
Sb-125 3.10E-06 6.37E-06 9.71E-06 1.31E-05 1.65E-05 1.99E-05
Sb-126 6.10E-09 7.93E-09 9.50E-09 1.10E-08 1.24E-08 1.40E-08
Te-120 1.97E-21 4.68E-20 2.65E-19 8.27E-19 1.90E-18 3.63E-18
Te-122 5.53E-09 2.50E-08 6.20E-08 1.19E-07 2.02E-07 3.15E-07
Te-123 4.57E-12 4.28E-11 1.59E-10 3.98E-10 8.15E-10 1.47E-09
Te-124 3.52E-09 1.89E-08 4.97E-08 9.82E-08 1.69E-07 2.65E-07
Te-125 1.65E-07 7.13E-07 1.67E-06 3.04E-06 4.82E-06 7.03E-06
Te-126 1.06E-07 2.62E-07 4.55E-07 6.78E-07 9.34E-07 1.22E-06
Te-128 3.60E-05 7.56E-05 0.00011781243727 1.61E-04 0.000206780712631 0.000253686572573
Te-130 1.94E-04 0.000392976098834 0.000595003050485 7.96E-04 0.000999578961671 0.00120353545168
Te-132 1.14E-05 1.12E-05 1.12E-05 1.11E-05 1.10E-05 1.08E-05
I-127 1.22E-05 2.79E-05 4.56E-05 6.44E-05 8.44E-05 0.000105331181565
I-129 7.83E-05 0.000167560094045 0.000259812093919 3.52E-04 0.000445680484651 0.000538889547352
I-130 2.39E-09 5.28E-09 8.80E-09 1.31E-08 1.87E-08 2.61E-08
