isotope pass1 pass2 pass3 pass4 pass5 pass6
Pu-236 1.80E-16 4.51E-15 2.19E-14 8.51E-14 2.40E-13 7.06E-13
Pu-237 8.54E-14 6.30E-13 2.06E-12 5.25E-12 1.16E-11 2.13E-11
Pu-238 1.00E-06 8.87E-06 3.21E-05 7.97E-05 0.00016217146373 0.000288069011818
Pu-239 2.66E-03 0.003919931630269 0.004373323527228 0.004387267123194 0.004157287682752 0.003801387462196
Pu-240 3.83E-04 0.001044948963121 0.001640762460477 0.002066681038352 0.002325196162333 0.002441416050469
Pu-241 8.01E-05 0.000431399705112 0.000964060479119 1.50E-03 0.00190481529187 0.002120931077374
Pu-242 3.23E-06 3.98E-05 0.000156238452085 3.82E-04 0.000730436432669 0.001197523231807
Pu-243 2.76E-10 3.65E-09 1.51E-08 3.87E-08 7.90E-08 1.38E-07
Pu-244 1.75E-12 5.84E-11 4.49E-10 1.85E-09 5.66E-09 1.42E-08
Pu-246 2.02E-35 8.09E-32 9.99E-30 3.00E-28 4.41E-27 4.22E-26
Am-241 4.53E-07 4.59E-06 1.42E-05 2.63E-05 3.65E-05 4.09E-05
Am-242 1.45E-09 1.57E-08 5.32E-08 1.10E-07 1.73E-07 2.25E-07
Am-243 3.46E-08 9.46E-07 5.98E-06 2.05E-05 5.20E-05 0.000107838850277
Am-244 7.75E-13 2.27E-11 1.53E-10 5.57E-10 1.52E-09 3.42E-09
Cm-240 8.87E-19 4.45E-17 2.13E-16 9.71E-16 2.09E-15 6.51E-15
Cm-241 2.97E-16 9.34E-15 5.85E-14 1.64E-13 3.67E-13 5.92E-13
Cm-242 4.24E-08 8.81E-07 4.29E-06 1.13E-05 2.16E-05 3.30E-05
Cm-243 5.35E-11 2.47E-09 1.97E-08 7.48E-08 1.93E-07 3.84E-07
Cm-244 6.37E-10 3.80E-08 3.90E-07 1.91E-06 6.55E-06 1.77E-05
Cm-245 2.37E-12 2.98E-10 4.69E-09 3.07E-08 1.30E-07 4.11E-07
Cm-246 1.12E-14 3.04E-12 7.97E-11 7.82E-10 4.71E-09 2.09E-08
Cm-247 6.22E-18 3.61E-15 1.48E-13 2.02E-12 1.57E-11 8.54E-11
Cm-248 2.46E-20 3.04E-17 1.99E-15 3.83E-14 3.98E-13 2.80E-12
Cm-249 9.98E-26 1.32E-22 9.15E-21 1.86E-19 2.04E-18 1.52E-17
Cm-250 3.81E-29 1.10E-25 1.21E-23 3.42E-22 4.83E-21 4.51E-20
Bk-249 2.40E-23 6.29E-20 6.33E-18 1.65E-16 2.16E-15 1.85E-14
Cf-249 6.18E-25 4.07E-21 6.11E-19 2.10E-17 3.40E-16 3.43E-15
Cf-251 6.74E-32 5.45E-28 9.59E-26 3.85E-24 7.42E-23 9.05E-22
